HeadSize,BrainWeight,Gender,Smarter
4512,1530,M,0
3738,1297,F,0
4261,1335,F,0
3777,1282,F,0
4177,1590,F,0
3585,1300,F,0
3785,1400,M,1
3559,1255,M,1
3613,1355,M,1
3982,1375,M,1
3443,1340,,1
3993,1380,F,0
3640,1355,,0
4208,1522,M,1
3832,1208,M,1
3876,1405,F,0
3497,1358,F,0
3466,1292,F,1
3095,1340,F,1
4424,1400,F,1
3878,1357,F,0
4046,1287,F,1
3804,1275,F,1
3710,1270,F,1
4747,1635,F,0
4423,1505,F,0
4036,1490,F,0
4022,1485,F,0
3454,1310,F,1
4175,1420,M,1
3787,1318,M,1
3796,1432,M,1
4103,1364,M,0
4161,1405,,1
4158,1432,,1
3814,1207,,1
3527,1375,,1
3748,1350,,1
3334,1236,M,1
3492,1250,,1
3962,1350,,1
3505,1320,M,0
4315,1525,,0
3804,1570,F,0
3863,1340,,0
4034,1422,F,0
4308,1506,F,0
3165,1215,F,0
3641,1311,F,0
3644,1300,F,0
3891,1224,F,0
3793,1350,M,0
4270,1335,M,0
4063,1390,M,0
4012,1400,M,0
3458,1225,F,1
3890,1310,F,1
4166,1560,F,1
3935,1330,F,1
3669,1222,F,1
3866,1415,F,0
3393,1175,F,0
4442,1330,M,0
4253,1485,M,0
3727,1470,M,0
3329,1135,F,0
3415,1310,F,1
3372,1154,F,0
4430,1510,F,0
4381,1415,M,0
4008,1468,M,0
3858,1390,F,0
4121,1380,F,0
4057,1432,F,0
3824,1240,F,0
3394,1195,F,0
3558,1225,F,0
3362,1188,,0
3930,1252,M,0
3835,1315,M,0
3830,1245,M,0
3856,1430,M,0
3249,1279,M,0
3577,1245,M,1
3933,1309,M,1
3850,1412,M,1
3309,1120,F,1
3406,1220,F,1
3506,1280,F,1
3907,1440,F,1
4160,1370,F,1
3318,1192,F,1
3662,1230,F,1
3899,1346,M,1
3700,1290,M,1
3779,1165,M,1
3473,1240,M,0
3490,1132,M,0
3654,1242,M,0
3478,1270,M,0
3495,1218,M,0
3834,1430,,1
3876,1588,,0
3661,1320,,0
3618,1290,,1
3648,1260,,1
4032,1425,,0
3399,1226,M,0
3916,1360,M,0
4430,1620,M,1
3695,1310,M,1
3524,1250,M,0
3571,1295,M,1
3594,1290,F,0
3383,1290,F,1
3499,1275,F,0
3589,1250,F,0
3900,1270,F,0
4114,1362,,0
3937,1300,F,0
3399,1173,F,0
4200,1256,,1
4488,1440,,1
3614,1180,M,1
4051,1306,M,1
3782,1350,,0
3391,1125,,1
3124,1165,M,0
4053,1312,M,1
3582,1300,M,1
3666,1270,F,1
3532,1335,F,1
4046,1450,,1
3667,1310,M,1
2857,1027,M,1
3436,1235,M,0
3791,1260,M,0
3302,1165,M,0
3104,1080,M,0
3171,1127,M,0
3572,1270,M,0
3530,1252,F,0
3175,1200,F,0
3438,1290,F,0
3903,1334,F,0
3899,1380,F,1
3401,1140,F,1
3267,1243,F,1
3451,1340,F,1
3090,1168,,1
3413,1322,M,1
3323,1249,,0
3680,1321,M,0
3439,1192,M,0
3853,1373,M,0
3156,1170,M,0
3279,1265,M,0
3707,1235,M,0
4006,1302,M,1
3269,1241,M,1
3071,1078,M,1
3779,1520,M,1
3548,1460,M,0
3292,1075,M,0
3497,1280,M,0
3082,1180,M,0
3248,1250,M,1
3358,1190,M,1
3803,1374,M,0
3566,1306,M,0
3145,1202,M,0
3503,1240,M,0
3571,1316,M,1
3724,1280,M,1
3615,1350,M,1
3203,1180,M,0
3609,1210,M,0
3561,1127,M,0
3979,1324,M,0
3533,1210,M,0
3689,1290,M,1
3158,1100,M,1
4005,1280,M,1
3181,1175,M,1
3479,1160,M,1
3642,1205,M,1
3632,1163,M,1
3069,1022,M,1
3394,1243,M,1
3703,1350,M,1
3165,1237,F,1
3354,1204,F,1
3000,1090,F,0
3687,1355,F,0
3556,1250,M,0
2773,1076,M,0
3058,1120,M,0
3344,1220,M,0
3493,1240,F,0
3297,1220,F,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
